,incident_key,occur_date,occur_time,boro,loc_of_occur_desc,loc_classfctn_desc,murder,perp_age_group,perp_sex,perp_race,vic_age_group,vic_sex,vic_race,newgeoreferencedcolumn,zipcodes,date_time
822,264250139,02/26/2023,04:00:00,QUEENS,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,BLACK,POINT (-73.821423 40.584346),20532.0,2023-02-26 04:00:00
823,265006011,03/11/2023,13:45:00,BROOKLYN,INSIDE,DWELLING,Y,UNKWOWN,UNKWOWN,UNKWOWN,25-44,F,BLACK,POINT (-73.934961 40.649267),16866.0,2023-03-11 13:45:00
824,265584227,03/23/2023,22:10:00,BRONX,OUTSIDE,COMMERCIAL,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,BLACK HISPANIC,POINT (-73.859101 40.878047),11605.0,2023-03-23 22:10:00
825,265698001,03/26/2023,21:04:00,MANHATTAN,OUTSIDE,HOUSING,Y,18-24,M,BLACK,18-24,M,BLACK,POINT (-73.946995 40.813343),12424.0,2023-03-26 21:04:00
826,264657996,03/06/2023,19:50:00,BROOKLYN,OUTSIDE,STREET,N,25-44,M,BLACK,25-44,M,BLACK,POINT (-73.991388 40.69883),16865.0,2023-03-06 19:50:00
827,262747865,01/30/2023,18:25:00,BROOKLYN,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,WHITE,POINT (-73.978186 40.605481),18183.0,2023-01-30 18:25:00
828,262067875,01/17/2023,20:48:00,QUEENS,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,F,BLACK,POINT (-73.75071 40.606219),20529.0,2023-01-17 20:48:00
829,263189901,02/07/2023,09:00:00,BRONX,OUTSIDE,STREET,Y,25-44,M,BLACK,25-44,M,BLACK,POINT (-73.909895 40.829182),10934.0,2023-02-07 09:00:00
830,262145576,01/18/2023,22:50:00,QUEENS,OUTSIDE,HOUSING,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,BLACK HISPANIC,POINT (-73.933831 40.774853),16859.0,2023-01-18 22:50:00
831,262699984,01/29/2023,23:50:00,BROOKLYN,OUTSIDE,HOUSING,N,UNKWOWN,UNKWOWN,UNKWOWN,45-64,M,BLACK,POINT (-73.983806 40.701399),16865.0,2023-01-29 23:50:00
832,264775620,03/09/2023,01:40:00,BRONX,OUTSIDE,STREET,N,25-44,M,WHITE HISPANIC,25-44,M,BLACK HISPANIC,POINT (-73.89338 40.864058),10936.0,2023-03-09 01:40:00
833,263078583,02/05/2023,14:00:00,BROOKLYN,INSIDE,COMMERCIAL,N,45-64,M,WHITE HISPANIC,18-24,M,WHITE,POINT (-74.009444 40.645947),18180.0,2023-02-05 14:00:00
834,262808152,01/31/2023,21:15:00,BROOKLYN,INSIDE,DWELLING,N,<18,M,BLACK,<18,M,BLACK,POINT (-73.910971 40.663046),17614.0,2023-01-31 21:15:00
835,263503175,02/10/2023,14:29:00,BRONX,OUTSIDE,STREET,N,25-44,M,WHITE HISPANIC,25-44,M,BLACK,POINT (-73.892569 40.846117),10935.0,2023-02-10 14:29:00
836,265744133,03/27/2023,11:08:00,BROOKLYN,OUTSIDE,HOUSING,Y,UNKWOWN,UNKWOWN,UNKWOWN,18-24,M,BLACK,POINT (-73.979528 40.695772),17212.0,2023-03-27 11:08:00
837,262673444,01/28/2023,01:03:00,MANHATTAN,INSIDE,TRANSIT,N,25-44,M,WHITE HISPANIC,25-44,M,BLACK,POINT (-74.00188311 40.71939629),12076.0,2023-01-28 01:03:00
838,265618360,03/24/2023,13:30:00,BRONX,OUTSIDE,STREET,N,18-24,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,POINT (-73.9088 40.83557),10934.0,2023-03-24 13:30:00
839,265988196,03/31/2023,15:30:00,BROOKLYN,INSIDE,DWELLING,N,UNKWOWN,UNKWOWN,UNKWOWN,<18,M,BLACK,POINT (-73.895709 40.669299),17214.0,2023-03-31 15:30:00
840,262882569,02/01/2023,19:00:00,BROOKLYN,OUTSIDE,COMMERCIAL,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,BLACK,POINT (-73.866944 40.676531),17215.0,2023-02-01 19:00:00
841,264617752,03/03/2023,23:20:00,MANHATTAN,INSIDE,COMMERCIAL,Y,25-44,M,BLACK,65+,M,ASIAN / PACIFIC ISLANDER,POINT (-73.955214 40.775129),12425.0,2023-03-03 23:20:00
842,264689064,03/07/2023,14:18:00,BROOKLYN,INSIDE,COMMERCIAL,N,18-24,M,BLACK,18-24,M,BLACK,POINT (-74.004711 40.654033),13515.0,2023-03-07 14:18:00
